sheet,field,type,definition,allowed_or_unit
S1_Studies,planned_role,categorical,Role assigned before the corresponding inference,development; confirmation; validation; context; sensitivity
S1_Studies,independence_group,identifier,Groups records that cannot be counted as independent studies,project-defined stable label
S2_Contrasts,early_ordinal / late_ordinal,integer,Study-specific endpoints used to calculate a within-study effect,ordered endpoint codes
S3_Transfer,spearman_effect_correlation,number,Spearman correspondence between imported and reference effects,-1 to 1
S3_Transfer,direction_concordance,proportion,Measured signature genes with matching effect sign,0 to 1
S4_Tissue_contexts,admission_status,categorical,Limits the layer to applicability annotation,tissue_applicability_only
S6_Candidates,candidate_grade,categorical,Evidence rule applied without refitting,A; B; C
S6_Candidates,rin_binding_replicates,integer,Independent peak-to-feature tables meeting PEAK_FDR <= 0.05,count
S6_Candidates,rin1_vs_wt_log2_fold_change,number,Independent 34-DPA rin-1 minus WT expression effect,log2 fold change
S6_Candidates,protein_support_status,categorical,Protein-measured evidence relative to transcript direction,measured-state label
S6_Candidates,claim_boundary,text,Required limit on candidate interpretation,must not be removed
S7_Literature,literature_screen_status,categorical,Result of an exact-ID and alias-bounded search,not a novelty field
S8_Method_benchmarks,benchmark_scope,categorical,Separates development LOCO from the untouched external test,development_LOCO; untouched_GSE78733
S9_GO_associations,bh_fdr,number,Benjamini-Hochberg FDR across tested terms,0 to 1
S9_GO_associations,matched_signature_gene_count,integer,Exact covariate-eligible observed signature frame used in every null comparison,432
S9_GO_associations,full_frozen_signature_gene_count,integer,"Frozen signature membership, unchanged by matching eligibility",464
S11_Frozen_atlas,studyshield_score,number,Historical internal score retained for audit,not used for candidate grading
S11_Frozen_atlas,regulatory_claim_boundary,text,Explicit prohibition on causal interpretation,must not be removed
S3_Transfer,rank_control_gene_count_measured,integer,Measured genes from the fixed source-effect ranks 501–1000 control,count
S3_Transfer,rank_control_spearman_effect_correlation,number,Effect-rank correspondence for the fixed rank control,-1 to 1
S3_Transfer,rank_control_direction_concordance,proportion,Direction agreement for the fixed rank control,0 to 1
S3_Transfer,signature_minus_control_direction_percentage_points,number,Signature direction agreement minus fixed-control agreement,percentage points
S3_Transfer,rank_control_definition,text,Historical unconfirmed comparison only. See S12 for symmetric confirmation.,source-effect ranks 501–1000
S6/S11/revision,display_order,see source table,"Deterministic figure/table ordering, not a validated prioritization score",Defined in revision outputs
S6/S11/revision,submission_priority_rank,see source table,Deprecated compatibility alias of display_order; no probability interpretation,Defined in revision outputs
S6/S11/revision,occupancy_and_perturbation_supported,see source table,Gene-associated RIN peaks in >=2 replicates plus independent rin-1 differential expression; same-interval overlap is not required.,Defined in revision outputs
S6/S11/revision,multiomics_high_confidence,see source table,Deprecated alias of occupancy_and_perturbation_supported; does not require protein evidence,Defined in revision outputs
S6/S11/revision,four_cohort_direction_consensus,see source table,Two selection sources plus GSE267238 and GSE128739; not four external validations,Defined in revision outputs
S6/S11/revision,bootstrap_same_direction_frequency,see source table,Fraction of all ordered endpoint-column resamples with reference sign; not a posterior probability,Defined in revision outputs
S6/S11/revision,effect_bootstrap_p025/p975,see source table,Conditional empirical-bootstrap percentiles on the stated effect scale; small-sample and normalization-fixed,Defined in revision outputs
S6/S11/revision,rank01,see source table,"Within-sample percentile rank, late-minus-early group means",Defined in revision outputs
S6/S11/revision,log2cpm,see source table,"log2(CPM+1), late-minus-early group means, not DESeq2 log2 fold change",Defined in revision outputs
S6/S11/revision,protein_measurement_status,see source table,"Distinguishes source differential record, measured same sign only, measured opposite sign and absent measurement",Defined in revision outputs
