gene_id,display_name,candidate_grade,submission_priority_rank,literature_screen_status,literature_screen_scope,literature_screen_source,literature_screen_url,literature_screen_conclusion,screen_date
Solyc08g005770,AAT,A,1,pending_full_alias_and_full_text_screen,"Pending: exact Solyc ID, aliases, gene symbol, tomato fruit-ripening context, and primary full-text review",,,No manuscript novelty or direct-regulation claim is permitted until this row is completed.,
Solyc01g006540,loxC,A,2,pending_full_alias_and_full_text_screen,"Pending: exact Solyc ID, aliases, gene symbol, tomato fruit-ripening context, and primary full-text review",,,No manuscript novelty or direct-regulation claim is permitted until this row is completed.,
Solyc06g051800,EXP1,A,3,pending_full_alias_and_full_text_screen,"Pending: exact Solyc ID, aliases, gene symbol, tomato fruit-ripening context, and primary full-text review",,,No manuscript novelty or direct-regulation claim is permitted until this row is completed.,
Solyc10g006880,NOR,A,4,pending_full_alias_and_full_text_screen,"Pending: exact Solyc ID, aliases, gene symbol, tomato fruit-ripening context, and primary full-text review",,,No manuscript novelty or direct-regulation claim is permitted until this row is completed.,
Solyc02g088270,Solyc02g088270,A,5,no_direct_functional_fruit_ripening_study_identified_in_scoped_screen,"Exact-ID screening found annotation and paralog-level mentions, including a leaf-senescence/starch study; no direct tomato fruit-ripening functional experiment was identified.","SlCSAPlike-PGM interaction modulates starch accumulation to regulate leaf senescence in tomato (Journal of Integrative Agriculture, 2026; DOI:10.1016/j.jia.2026.02.035)",https://doi.org/10.1016/j.jia.2026.02.035,"Call this a priority for functional testing, not a novel gene or a direct RIN target. The screening result is bounded to the recorded exact-ID and context queries.",2026-08-27
Solyc03g116510,Solyc03g116510,A,6,no_direct_functional_study_identified_in_scoped_screen,"Exact-ID searches recovered a tomato small-RNA database record and supplementary expression listings, but no primary functional study for this locus.",Exact-ID searches in PubMed and Google; PubMed returned no indexed record and Google returned database/supplementary records rather than a primary functional paper.,,"Call this a priority for formal follow-up, not a novel gene. A broader synonym and full-text literature review is still required before novelty wording.",2026-08-27
Solyc10g083400,Solyc10g083400,A,7,pending_full_alias_and_full_text_screen,"Pending: exact Solyc ID, aliases, gene symbol, tomato fruit-ripening context, and primary full-text review",,,No manuscript novelty or direct-regulation claim is permitted until this row is completed.,
Solyc08g014130,IPMS2,A,8,pending_full_alias_and_full_text_screen,"Pending: exact Solyc ID, aliases, gene symbol, tomato fruit-ripening context, and primary full-text review",,,No manuscript novelty or direct-regulation claim is permitted until this row is completed.,
Solyc01g108490,Solyc01g108490,A,9,pending_full_alias_and_full_text_screen,"Pending: exact Solyc ID, aliases, gene symbol, tomato fruit-ripening context, and primary full-text review",,,No manuscript novelty or direct-regulation claim is permitted until this row is completed.,
Solyc10g084600,Solyc10g084600,A,10,direct_functional_study_outside_fruit_ripening,Published tomato functional work identifies this locus as SlBGH2B in plastid/light-adaptation biology; this is not a fruit-ripening perturbation study.,"Dark-inducible BGH2 suppresses GLK transcription factors and maintains plastid homeostasis to promote light adaptation (The Plant Cell, 2025; DOI:10.1093/plcell/koaf180)",https://doi.org/10.1093/plcell/koaf180,"Do not call this gene under-annotated, novel, or a new RIN target. Retain it as a cross-context grade-A ripening candidate.",2026-08-27
Solyc02g070890,Solyc02g070890,A,11,pending_full_alias_and_full_text_screen,"Pending: exact Solyc ID, aliases, gene symbol, tomato fruit-ripening context, and primary full-text review",,,No manuscript novelty or direct-regulation claim is permitted until this row is completed.,
Solyc09g092430,Solyc09g092430,A,12,pending_full_alias_and_full_text_screen,"Pending: exact Solyc ID, aliases, gene symbol, tomato fruit-ripening context, and primary full-text review",,,No manuscript novelty or direct-regulation claim is permitted until this row is completed.,
Solyc08g080630,ER1,A,13,pending_full_alias_and_full_text_screen,"Pending: exact Solyc ID, aliases, gene symbol, tomato fruit-ripening context, and primary full-text review",,,No manuscript novelty or direct-regulation claim is permitted until this row is completed.,
Solyc01g104850,Solyc01g104850,A,14,pending_full_alias_and_full_text_screen,"Pending: exact Solyc ID, aliases, gene symbol, tomato fruit-ripening context, and primary full-text review",,,No manuscript novelty or direct-regulation claim is permitted until this row is completed.,
Solyc07g063600,Solyc07g063600,A,15,pending_full_alias_and_full_text_screen,"Pending: exact Solyc ID, aliases, gene symbol, tomato fruit-ripening context, and primary full-text review",,,No manuscript novelty or direct-regulation claim is permitted until this row is completed.,
Solyc03g118060,Solyc03g118060,A,16,pending_full_alias_and_full_text_screen,"Pending: exact Solyc ID, aliases, gene symbol, tomato fruit-ripening context, and primary full-text review",,,No manuscript novelty or direct-regulation claim is permitted until this row is completed.,
Solyc10g079050,Solyc10g079050,A,17,pending_full_alias_and_full_text_screen,"Pending: exact Solyc ID, aliases, gene symbol, tomato fruit-ripening context, and primary full-text review",,,No manuscript novelty or direct-regulation claim is permitted until this row is completed.,
Solyc07g042390,Solyc07g042390,A,18,pending_full_alias_and_full_text_screen,"Pending: exact Solyc ID, aliases, gene symbol, tomato fruit-ripening context, and primary full-text review",,,No manuscript novelty or direct-regulation claim is permitted until this row is completed.,
